老朽	老而 衰败 老朽 以终
工间操	机关 企业 中 工作人员 工人 工作 时间 抽出 时间 集体 做 体操
广播体操	广播 指挥 做 健身 体操 音乐 配合 广播操
立体电影	NONE
京韵大鼓	中国 曲艺 一种 流行 京津 木板 大鼓 清音 子弟书 合流 吸收 戏曲 说唱 艺术 发展 而成 唱腔 北京 语音 基础 属板 腔体 结构 一人 站 唱 自操 鼓板 司 节奏 另以 三弦 四胡 伴奏 短段 曲目
梨花大鼓	NONE
插画	作品 中 艺术性 插图
插图	文字 书刊 中 插入 内容 图画
指画	手指 指 指点
立轴	高而窄 字画 轴子 尺寸 中堂
仿古	NONE
登革热	NONE
淋病	淋病 双球菌 生殖器 粘膜 接触 传染性 炎症
大骨节病	地方 病症状 关节 粗大 疼痛 肌肉 萎缩 手指 弯曲 多见于 我国 东北 西北地区 柳 拐子 病
该病	NONE
带伤	NONE
有伤	NONE
良性肿瘤	植物 动物体 一种 良性 异常 增生 组织 团
冻疮	又名 冻风 冷风 严寒 伤及 皮肉 气血 凝滞 而成 多发 手足 耳廓 处
燎泡	皮肤 因火 热水 烫伤 水泡
鸡皮疙瘩	惊吓 寒冷 皮肤 类似 鸡皮 疙瘩
看守内阁	NONE
看守政府	NONE
过渡内阁	NONE
行营	出征 时 军营 指 军事 长官 驻地 办事处 作移 营指 行军
通常国会	NONE
一府两院	NONE
糟行	糟坊 酿酒 作坊
报亭	卖 报刊杂志 店铺 外形 亭子
简易师范	相当于 初中 程度 师范学校 培养 小学 师资 赵树理 李有 板话 一恒元   孩子 本村 小学 教员 名叫   家祥 一九三 ○ 年 县里 简易师范 毕业
计算中心	配备 通用 电子计算机 各种类型 科学计算 工程设计 数据处理 服务 机构
出手	卖出 货物 抛售 完毕
抬肩	裁剪 用语 指 上衣 肩头 腋下 尺寸
比热	升高 物体 温度 度 热量 升高 质量 水 温度 度 热量 之比
开本	印刷纸 整张 均分 数目 出版物 尺寸 大小 称谓 三十二开
可变电容	NONE
株距	行中 相邻 两个 植株 之间 距离
千里之行	指 走 很长 路
乘积	两个 两个 数 或量 相乘 数 或量
积	聚集 少成 多处 心 虑 储 愤 郁 怨 愿 累 ě～ 攒
等差级数	算术级数 形式 +++++++
算术级数	NONE
数量单位	NONE
标准单位	NONE
排	推开 斥 水 外 挤 山倒海 忧 解难
进	向前 向上 发展 退 前 推 跃 ～～ 退 取 击 驻 行 í～
溜	滑行 下滑 冰
列	排成 行罗 行 á～ 队 ～～ 岛
行	NONE
趟	来往 次数 走
堆	累积 东西 栈 房土
团	圆形 扇 脐
墩	土堆 土
抱	手臂 围住 拥 ～～ 小孩儿 合 ～～ 残守缺 形容 保守 不知进取
捧	两手 托着 心用 手 捂住 胸喻 拙劣 模仿 日 读 敬辞 读 文章 腹 大笑
围	环绕 四周 拦挡 攻 城突 解
等份	划分 数量 份儿
毫安	电流强度 单位 安培 千分之一
伏安	电气 测量 一种 单位 等于 伏特 安培 乘积 直流电 中 功率 量度 交流电 中 表现 功率 量度
动量单位	NONE
复量单位	NONE
度量衡单位	NONE
直拍	NONE
歪	不正 偏斜 斜 曲 ū
歪斜	不正 不直
倾斜	歪斜 偏斜
偏斜	直线 指定 路线 偏转 尤指 子弹 瞄准 方向 偏离
趄	趑 趑
坡	倾斜 地方 山
歪歪扭扭	歪斜 不正
歪七扭八	歪歪扭扭 不直
七扭八歪	形容 端正
七歪八扭	形容 歪斜 不正
横倒竖歪	NONE
歪歪斜斜	震颤 状态 颤抖 或物 特征 状态
东倒西歪	NONE
参差	不齐 参差 荇 菜 诗周 南关 睢 青树翠 蔓蒙络 摇缀 参差 披拂 唐 柳宗元 小丘 西 小石 潭 记瓦缝 参差 多于 周身 之帛缕 唐 杜牧 阿房宫赋
参差不齐	参差 长短 不齐 形容 水平 整齐
横七竖八	横 竖 杂乱无章 形容 纵横 杂乱
凸	高出 凹 透镜 凹 不平
穹隆	作 穹窿 隆起 四周 下垂 貌 常用 形容 天 形状
阳	明亮
拱	两手 抱拳 上举 以表 敬意 手 揖
鼓鼓囊囊	软 外皮 中塞得 圆鼓鼓 藏物 凸起 样子
鼓囊囊	鼓鼓囊囊 刘心武 班主任 张老师   推车 走出 公园 时 遇上 提着 鼓囊囊 塑料 包打 公园 门口 走过   尹 老师
努	使出 力量 力
凸出	高出 高起
凸显	凸出 显露
崎岖	山路 不平
起伏	下降
此起彼伏	形容
此伏彼起	形容
起伏跌宕	音调 抑扬顿挫 文章 富于 变化
起起伏伏的	NONE
起起伏伏	波浪 一波未平 一波又起 稳定 处于 波动 状态 中
跌宕起伏	跌宕 富于 变化 顿挫 波折 形容 事物 多变 稳定 比喻 音乐 音调 忽高忽低 故事情节 曲折
涨跌	涨跌 值用 元 做 单位 价格 变动 量 涨跌 收盘 昨 收盘
一连串	事情 接
一系列	许许多多 关联   事物 一连串 事物
无穷无尽	穷 完 没有止境 限度
浩如烟海	浩 烟海 茫茫大海 形容 典籍 图书
不可胜数	NONE
不计其数	没法 计算 数目 形容
不一而足	NONE
不胜枚举	胜尽枚 一个个 列举 形容 数量
数不胜数	数 计算 数都数 形容 数量 极多 难 计算
数以万计	以万来 计算
不知凡几	总共 一共 指 同类 事物
比比皆是	比比 挨 形容 常见
目不暇接	指 东西 眼睛
恒河沙数	恒河 南亚 大河 恒河 里 沙粒 计算 形容 数量
更仆难数	原意 儒行 一下子 说不完 一件 一件 说 长时间 换 未必 说完 形容 或事物 数
车载斗量	载 装载 车载 斗量 形容 数量 不足为奇
汗牛充栋	栋 栋宇 屋子 书 运输 时牛累 出汗 存放 时可堆 屋顶 形容 藏书
多如牛毛	牛 身上 毛 形容 极多
洋洋洒洒	洋洋 盛大 众多 样子 洒洒 明白 流畅 样子 形容 文章 谈话 明快 连续不断
密密麻麻	形容 密
鳞次栉比	栉 梳篦 总称 鱼鳞 梳子 齿 次序 排列 形容 房屋 船只 排列 很密 整齐
星罗棋布	罗 罗列 布 分布 天空 星星 棋盘 棋子 分布 形容 数量 分布 很广
满山遍野	布满 山岭 田野 形容 数量 范围广
遮天盖地	形容 数量 占 面积
铺天盖地	一下子 形容 来势 猛
满坑满谷	充满 谷 充满 坑 形容 多得很
雨后春笋	指 春天 下雨 竹笋 一下子 就长 比喻 事物 涌现
泛滥成灾	江河湖泊 水 溢出 灾害 比喻 不好 文章 思想 传播 影响 极坏
举不胜举	胜尽 列举 列举 完 形容 数量
漫山遍野	漫满遍 山上 田野 里 形容
弥天盖地	弥 充满 布满 天空 盖遍 大地 形容 来势 猛
密麻麻	多而密 样子
名目繁多	指 事物 花样 名称
千家万户	指 众多
系列	相关联 成 系统 事物
为数众多	NONE
苇丛	NONE
文山会海	形容 文件 会议 多得 泛滥成灾
聚讼纷纭	聚讼 众中 争辩 纷纭 杂乱 议论纷纷 哪种 意见 正确
羽毛丰满	小鸟 羽毛 长全 比喻 成熟 实力 强大
多重	NONE
多级	NONE
层层	一层 一层
多样	多种 样式 冰心 儿童文学 选 序言 提出 历年来 提出 几项 广阔 多样 题材 时代 生活 斗争 作品 张君秋 艺术 生涯 学戏 文艺 生活 多样
多元	三个 整体 实体
擢发难数	擢拔 拔 头发 难以 数清 形容 罪行 多得 数不清
罄竹难书	罄尽 完竹 古时 写字 竹简 形容 罪行 多得 写 完
多糖	NONE
接踵	脚尖 脚跟 相接 形容 人多 如流
寥寥可数	寥寥 稀少 形容
寥寥无几	寥寥 形容 数量 少 稀少 几个
寥若晨星	寥 稀疏 稀少 好像 早晨 星星 指 为数 极少
屈指可数	形容 数目 扳着 手指头 数过来
硕果仅存	唯一 留存 果子 比喻 时间 推移 留存 仅存 或事物
微乎其微	形容 非常少
微不足道	微细 小足 值得 道 谈起 微小 值得一提 指 意义 价值 值得一提
九牛一毛	九条 牛 身上 一根 毛 比喻 数量 中 极微小 数量 微不足道
凤毛麟角	凤凰 羽毛 麒麟 角 比喻 珍贵 稀少 或物
聊胜于无	聊 一点
所剩无几	剩余 留下来 剩下
绝少	极少
下集	NONE
冲散	受 冲击 分离 散开
打散	犹 拆散
堆满	NONE
洒满	NONE
残破	残败 破旧
秃	头发 山无 树木 树木 枝叶 子 头 顶
支离	分散 残缺 条理
支离破碎	支离 零散 残缺 形容 事物 零散 破碎 完整
残存	除尽 少量 保存 剩下
残留	剩余 留下
残余	发展 演变 过程 中 残存 或事物
破烂	废旧 物品
破碎	破成 碎片 尤指 炸碎
破损	残破 损坏
破败	失败 破灭 败亡
破绽	衣被 靴帽 裂缝
褴褛	衣服 破烂
麻花	一种 食品 两三股 条状 面 拧 油炸 制而成 形容 衣裤 磨损 破 样子
烂	因过 熟 变得 松软 糊煮
破	碎 完整 碗 ～～ 灭 旧 败 落 陋 颜 转为 笑容 绽 衣服 裂开 指 事情 说话 漏洞 矛盾 牢
败	输 失利 成功 胜 北 退 绩 ａ 连队 溃败 ｂ 事业 失利 诉 笔 局两 俱伤
敝	破旧 坏 旧 俗 衣 屣 帚 自珍
百孔千疮	比喻 毛病 难以 收拾 地步
千疮百孔	形容 漏洞 弊病 破坏 程度
破烂儿	NONE
破破烂烂	破旧 霉烂
破相	面部 受伤 原因 相貌
烂乎乎	NONE
破烂不堪	破破烂烂 样子
鹑衣百结	鹑 鹌鹑 鸟结 悬挂 连缀 鹌鹑 尾巴 短而秃象 打满 补丁 形容 衣服 破烂
捉襟见肘	拉一拉 衣襟 露出 臂 肘 形容 衣服 破烂 比喻 顾此失彼 穷于 应付
衣不蔽体	蔽 遮 衣服 破烂 身子 遮盖 不住 形容 生活 贫苦
褴褛不堪	NONE
冗长	废话 持续时间 过长
长	两端 距离 度
长篇大论	滔滔不绝 言论 多指 内容 烦琐 词句 重复 长篇 发言 文章
洋洋洒洒	洋洋 盛大 众多 样子 洒洒 明白 流畅 样子 形容 文章 谈话 明快 连续不断
没完没了	NONE
连篇累牍	累 重叠 牍 古代 写字 木片 形容 篇幅 过多 文辞 冗长
累牍连篇	累 重叠 牍 古代 写字 木片 指用 篇幅 叙述
拖泥带水	NONE
洋洋万言	NONE
熟	食物 烧煮 吃 程度 饭 |～ 菜
熟透	NONE
黄	金子 向日葵 花 颜色 色 昏牛 ～～ 澄澄 信口 雌
黄熟	谷类作物 成熟 时 子实 内部 变硬 植株 大部分 黄色 生长 黄熟
烂熟	很熟 熟透
雷鸣	形容 响声 大如 雷鸣
雷动	声音 响雷 震动
震耳欲聋	形容 声音 很大 耳朵 快震聋
响彻云霄	彻 贯通 云霄 高空 形容 声音 响亮 好像 穿过 云层 直达 高空
响遏行云	遏 阻止 行云 飘动 云彩 形容 歌声嘹亮 高入 云霄 浮动 云彩 止住
穿云裂石	NONE
瓦釜雷鸣	NONE
振聋发聩	聩 天生 耳聋 引申为 不明 事理 声音 很大 耳聋 听得见 比喻 语言文字 唤醒 糊涂 麻木 清醒过来
如雷似火	NONE
婉转	说话 含蓄 曲折 温和
缠绵	缠住 解脱 指 久病
柔和	柔软 温和
圆润	声音 滑利 甜润
抑扬顿挫	NONE
娓娓动听	形容 善于 讲话 使人 喜欢 听
余音绕梁	形容 歌声 优美 留下 难忘 印象
珠圆玉润	润 细腻 光滑 珠子 圆像 玉石 光润 比喻 歌声 宛转 优美 文字 流畅 明快
大珠小珠落玉盘	NONE
声如银铃	NONE
宛转	说话 温和 曲折 不失 本意 措辞
悠扬	形容 声音 起伏 持续 和谐
抑扬	音调 有节 秦地 高 低
悠悠扬扬	形容 悠闲 懒散 神志 恍惚 样子
背阴	背向 阴
背光	照射 不到
以远	NONE
近	距离 短 远 接 附 ～～ 路 景舍 求远 眉睫 朱者 赤 墨者 黑 水 楼台
在望	指好 事情 到来
近便	路途 短近 便当
咫尺	NONE
近在咫尺	咫尺 很近 距离 形容 距离 很近
近在眼前	NONE
近在眉睫	睫 眼睫毛 形容 很近 眼前
朝发夕至	早上 出发 晚上 到达 形容 路程 不远 交通
一山之隔	NONE
一水之隔	受 一条 河水 阻隔 比喻 因受 水路 交通不便 会面
一衣带水	一条 衣带 狭窄 水指 虽有 江河湖海 相隔 距离 不远 不足以 交往 阻碍
一墙之隔	NONE
贴身	紧 身体
迟	慢缓 缓 笨 钝 疑 重 ò～ 滞
晚	NONE
深	表面 外面 距离 浅 水 山 邃 渊 壑 海 耕 呼吸 藏 虚 珍贵 东西 深藏 好像 喻人 知识 人前 表现 居 简出
晏	迟晚 驾
日上三竿	NONE
姗姗来迟	姗姗 形容 走得 缓慢 从容 慢腾腾 地来 晚
迟到	NONE
为时过晚	NONE
疾驰	飞快 奔驰
一溜烟	形容 跑 很快
腾云驾雾	乘着 云驾 雾 原是 中指 法术 云雾 飞行 形容 奔驰 头脑 发昏
骨腾肉飞	跳跃 形容 奔弛 形容 神魂飘荡
风驰电掣	驰 奔跑 掣 闪过 形容 风吹 电闪
追风逐电	形容 速度 极快 多指 马 飞速 奔驰
一日千里	原 形容 马跑 很快 比喻 进展 极快
日行千里	走 一千里 形容 速度 惊人
不胫而走	胫 小腿 走 跑 腿 跑 比喻 事物 无需 推行 传播 开去
不翼而飞	翼 翅膀 翅膀 飞 走 比喻 物品 丢失 比喻 事情 传播
急转直下	形容 形势 文笔 很快 顺势 发展
一泻千里	泻水往 直注 形容 江河 奔流 直 下流 远 比喻 文笔 乐曲 气势 奔放 形容 价格 猛跌
迅雷不及掩耳	NONE
稍纵即逝	纵放逝 消失 稍微 放松 消失 形容 时间 机会
眼捷手快	眼力 动作 水浒传 第十七回 何濤   自從領 這件 公事 晝夜 無眠 差下 本管 眼明手快 公人   黄泥 岡   上往 來 緝捕 警世 通言 白娘子 永镇 雷峰塔 何立   帶 夥 伴並 一班 眼明手快 公人 逕到   官 巷口   李   家生 藥店 提捉 正賊   許宣 儿女 英雄传 第六回 女子 眼明手快 連忙 丢下 杠子 拿出 刀 來 一架 李劼 天魔 舞 第十七章 眼明手快 内行 人才 行 作 眼明手捷 元   无名氏 盆儿 鬼 第三折 想起 俺少 時節 眼明手捷 體快 身輕到 腰曲頭 低
兵贵神速	神速 特别 用兵 贵在 特别
迅雷不及掩耳之势	NONE
不假思索	假 假借 形容 做事 答话 敏捷 熟练 用不着
一目十行	看书 时 十行 形容 看书
一挥而就	挥 挥笔 成功 动笔 写成 形容 写字 写文章 画画
一蹴而就	蹴 踏 成功 踏 一步 成功 比喻 事情 轻而易举 一下子 成功
指日可待	指日 指出 日期 为期不远 期待 为期不远
计日程功	计 计算 程 估量 考核 功 成效 工作进度 成效 按日 计算 形容 进展 有把握
日日夜夜	每夜 形容 延续 时间 长
日以继夜	晚上 连着 白天 形容 加紧 工作 学习
没日没夜	犹言 不分 白天 夜晚
饥寒	饥饿 寒冷 用于 缺吃少穿 困难 情况
饥寒交加	NONE
滋润	湿润 干燥
润泽	雨露 滋润 干枯
绚丽	耀眼 华丽
绚烂	光彩耀眼
烂漫	色彩 鲜丽
灿烂	NONE
如花似锦	锦有 彩色 花纹 丝织品 花朵 锦缎 形容 风景 绚丽 前程 美好
光彩夺目	夺目 耀眼 形容 鲜艳 耀眼 形容 艺术作品 艺术形象 高 成就
鲜艳夺目	色彩 鲜美 艳丽 引人注目
万紫千红	NONE
姹紫嫣红	姹 嫣 娇艳 形容 花朵 娇艳 美丽
花团锦簇	锦有 文彩 丝织品 簇丛聚 形容 五彩缤纷 鲜艳 多彩的 景象 形容 文章 辞藻 华丽
琳琅满目	琳琅 精美 玉石 满眼 珍贵 东西 形容 美好 事物
美不胜收	胜尽 美好 东西
多姿多彩	指 丰富多彩 形容 颜色 形态 多样 多种 形状 种颜色
绚	文采 丽 目 烂 练
繁花似锦	繁多 茂盛 锦织 彩色 花纹 锦缎 色彩 纷繁 鲜花 好像 富丽 多彩的 锦缎 形容 美好 景色 美好 事物
分外夺目	NONE
光灿夺目	NONE
灿烂夺目	五光十色 令人 眩目
绚丽夺目	指 建筑 装饰 灯光 颜色 艳丽 多彩 灿烂夺目 指 耀眼 超群出众 而使 黯然失色 形容 鲜艳 耀眼 形容 艺术作品 艺术形象 高 成就 形容 东西 光彩照人
灿若云霞	形容 阳光 笑 灿烂
灿若星河	灿 灿烂 繁 众多 亮晶晶 天上 众多 星星 比喻
光芒四射	光线 射向 四面八方
灿	烂 光彩耀眼 阳光 烂 简称 灿如 晨星
多姿	多种 姿态
丑陋	长得 难看
难看	看着 顺眼 好看
寒碜	形象 差 好看
猥琐	容貌 举止 庸俗 大方
丑	地支 第二位 属 牛
陋	丑 粗劣 文明 丑 ～～ 俗
其貌不扬	不扬 好看 形容 容貌 难看
面目可憎	NONE
龇牙咧嘴	龇 露齿 张着 嘴巴 露出 牙齿 形容 凶狠 疼痛 难忍 样子
贼眉鼠眼	形容 神情 鬼鬼祟祟
獐头鼠目	袋象 獐子 尖 眼睛 老鼠 圆形 容人 相貌 丑陋 神情 狡猾
见不得人	NONE
猥	众多
人老珠黄	旧时 比喻 女子 轻视 象 年代久远 失去光泽 珍珠 不值钱
璞玉浑金	NONE
浑金璞玉	比喻 天然 美质 未加 修饰 形容 品质 淳朴 善良
归真返璞	NONE
垂暮	己近 晚年 天涯 万里 情怀 恶 年华垂暮 犹 离索 张元千醉 落魄
垂垂老矣	渐渐
廉颇老矣	NONE
长寿	寿年 久长 小孩 时期 体弱多病 事实 长寿 可说是 简单
高寿	长寿 年纪 很大 自古 人君起 外藩 入继 大统 宫庭 之孝 未有 若帝 其间 父子 怡愉 同享 高寿 之者 宋史 孝宗 纪赞
长年	NONE
寿比南山	寿命 终南山 长久 用于 祝人 长寿
万寿无疆	NONE
长命百岁	寿命 很长 活到 一百岁 常用 作 祝福 长寿 之词
长生不老	长生 永生 原为 道教 用作 年长者 祝愿 语
龟鹤遐龄	遐 长久 遐龄 高寿 龟鹤 能活 一千年 比喻 长寿 作 龟龄鹤算
龟鹤延年	NONE
益寿延年	指 延长 寿命 增加 岁数 延年益寿
延年	延长 寿命 楚辞 天问 延年 死寿何 所止 三国   魏   阮籍 咏怀 诗 五五 人言愿 延年 延年 欲 西湖 佳话 葛岭 仙迹 纵能 天地 之气 吐 吞 收放 稍稍 延年
万古常青	NONE
病恹恹	NONE
恹恹	精神 萎靡 样子
病病歪歪	形容 病体 衰弱无力 样子
面黄肌瘦	脸色 发黄 身体 瘦削 形容 营养不良 病 样子
心力交瘁	交 一齐 瘁 疲劳 精神 体力 劳累
步履维艰	指 行走 困难
步履艰难	指 行走 困难
未老先衰	年纪 衰老 多指 精神 体力 负担过重 导致 过早 衰老
病歪歪	久病 虚弱 样子
病殃殃	病病殃殃
要死不活	半死不活
体弱多病	NONE
杏黄	黄而 微红 颜色 参见 杏黄 旗 杏黄 繖
橙黄	橙子 黄里 红 颜色
橙色	界于 红色 黄色 之间 混合色 情况 波长 毫米 辐射线 可作 观察
赤褐	紫铜 颜色
斑斓	色彩 错杂 灿烂 样子
光怪陆离	光怪 光彩 奇异 陆 离开 卷 参差 形容 奇形怪状 五颜六色
斑	一种 颜色 中 夹杂 种颜色 点子 条纹 点 纹 斓 雀 ～～ 秃 竹 驳 色彩 错落 管中窥豹 喻从 一部分 推测 全貌
色彩斑斓	斓 斑斓 灿烂 多彩 色彩斑斓 形容 色彩 灿烂 样子 形容 生活 文学作品 包含 内容 丰富多彩
耀斑	太阳 色球层 一种 明亮 爆发 几分钟 小时 消失
斑驳	色彩 相杂
斑驳陆离	斑驳 色彩 杂乱 陆离 参差不一 形容 色彩 纷杂
花花搭搭	掺和
清淡	清高 淡泊
寡	少 缺少 薄 恩 陋 趣 优柔 断 敌众 孤陋 闻 廉鲜 ǎ 耻 廉洁 不知 耻 清心 欲
清汤寡水	形容 菜肴 水太多 粗糙 味道
名副其实	名声 名义 相符
有名有实	NONE
名不虚传	NONE
名下无虚	原意 名气 真才实学 比喻 名不虚传
真名实姓	NONE
有名无实	有空 名 实际上
名过其实	名声 超过
名不副实	副 相称 符合 名声 名义 相符 指空 虚名
名存实亡	名义 实际上 消亡
虚有其表	虚空 表 表面 外貌 空有 好看 外表 实际上 不行 指 有名无实
徒有虚名	空有 名望 指 有名无实
言过其实	实 原指 言语 浮夸 超过 指话 说 过分 超过 情况
外面儿光	NONE
南箕北斗	NONE
挂羊头卖狗肉	NONE
假门假事	做 真的
假眉三道	方言 装模作样
形同虚设	形式 不起作用
名难副实	NONE
其实难副	NONE
名不符实	名声 不符
言不由衷	从衷 内心话 打心 眼里 说 说 真心话 指 心口不一
心口不一	想 嘴 说 形容 虚伪 诡诈
言行不一	说 一套 做 一套
表里不一	表面 内在
叶公好龙	NONE
假大空	指 假话 大话 空话
好高鹜远	比喻 不切实际 追求 过高过 远 目标
捕风捉影	风 影子 抓 比喻 说话 做事 丝毫 事实根据
镜花水月	NONE
水中捞月	NONE
空中楼阁	NONE
海市蜃楼	蜃 大蛤原 指 海边 沙漠 中 光线 反射 折射 空中 地面 虚幻 楼台 城郭 现多 比喻 虚无缥渺 事物
望风捕影	比喻 说话 做事 可靠 表面现象
听风是雨	指刚 听到 一点儿 风声 当要 下雨 形容 听到 一点 消息 竭力 附和 渲染
渺茫	时地 远隔 模糊不清
渺	微小 不足道
杳	无影 无声 音信 无声 黄鹤 喻人 或物 全无 踪影
逼真	实物
乱真	仿造 难辨 真伪
传神	指 生动 逼真 刻划出 或物 神情
神似	神态 神情
逼肖	
惟妙惟肖	描写 模仿 逼真
活龙活现	形容 神情 逼真 使人 感到 好像 亲眼看到
绘声绘影	形容 叙述 描写 生动 逼真
绘声绘色	人物 声音 神色 描绘出来 形容 叙述 描写 生动 逼真
栩栩如生	栩栩 活泼生动 样子 指 艺术形象 逼真
跃然纸上	活跃 呈现 纸 形容 文学作品 叙述 描写 真实 生动
呼之欲出	呼叫 喊 形容 人像画 逼真 一声 画 中 走 泛指 文学作品 中 人物 描写 生动
有鼻子有眼儿	NONE
以假乱真	以用 乱 混乱 用假 东西 冒充 混杂 真的 东西
绘影绘色	NONE
活灵活现	形容 神情 逼真 使人 感到 好像 亲眼看到
煞有介事	原是 江浙 一带 方言 指 装模作样 活像 真有 回事 多指 大模大样 好像 了不起 样子
无差别	NONE
活脱	活像 宋   杨万里 冬暖 诗 小春 活脱 春时 霜 熟风 酣 日 迟 儿女 英雄传 第十五回 脸蛋 子 走 哆嗦 活脱 一块 凉粉 儿柯灵香 雪海 人物 生命 活脱   潘金莲   声口
形神妙肖	NONE
活脱脱	形容 逼真
疑似	好像 好像
似是而非	似 像是 非 好像 实际上
似真似假	NONE
锦心绣口	NONE
文不加点	NONE
一字千金	NONE
生花妙笔	比喻 杰出 写作
掷地有声	金石 钟磬 乐器 声音 清脆 优美 比喻 文章 文辞优美 语言 铿锵有力
百读不厌	厌 厌烦 厌倦 读 一百遍 感到 厌烦 形容 诗文 书籍 写得 读 遍 感到 厌倦
洛阳纸贵	比喻 著作 价值 流传 广
龙飞凤舞	NONE
好戏连台	精彩 节目 连续 演出 播放 动人 场面 情景 例句 央视 西部 频道 明年 好戏连台 春节 期间 西部 频道 举办 西部 民歌 大赛 百名 歌手 现场 献艺 一决
拔尖	超出 次序 等级 成就 价值 位于 居 领先 优先 地位
不成话	荒唐 可笑
要不得	或事物 很坏 不能容忍
一团糟	混乱 整齐 肮脏
不足取	值得 肯定 采纳 赞扬
一无可取	一点儿 肯定 地方
一塌糊涂	形容 混乱 败坏 不可收拾 程度
看不上眼	NONE
不堪设想	未来 情况 想象 指 预料 事情 发展 坏 地步
不像话	指 言语 不合情理
杰出	出众 成就 杰出 战士
突出	隆起 凸出
出众	高出
特异	好于
卓著	
卓越	高超 出众
卓绝	极限 高出
超绝	超越 远远 胜过 六韬 武 骑士 取年 四十 长 七尺 五寸 壮健 捷疾超 絶 伦 名曰 武骑 之士 陈书 周迪传 富贵 隆赫超 絶 功臣 法苑珠 林卷 四八 身体 殊异 超 絶 餘人清   刘大 櫆 赠张 清少序 清少   年 二十 歌诗 洒然 超 絶 於 寻常
超群	超过 多指 才艺
超人	智能 体力 超越 常人
独立	NONE
卓然	卓越
拔尖儿	抢 风头
冒尖儿	NONE
数得着	比较突出 够得上 标准 如在 生产队 里 数得着 插秧 能手
数一数二	不算 第一 算 形容
出人头地	指 高人一等 形容 德才 超众 成就
出类拔萃	拔 超出 类 同类 萃原 草丛 生 样子 引伸 聚集 超出 同类 之上 多指 品德
头角峥嵘	NONE
超尘拔俗	尘俗 指 尘世 人间 拔 超出 原指 佛教徒 功夫 深已 超出 尘世 形容 才德 远远 超过 平常人
超群绝伦	伦 同辈 超出 相比
鹤立鸡群	鹤 站 鸡 群中 比喻 仪表 一群 人里 显得
独占鳌头	NONE
首屈一指	首 扳指 头 计算 弯下 大拇指 第一 指居 第一位 引申为
名列前茅	比喻 名次 列
至高无上	顶点 再也 高
天下第一	形容 人能 比得上
登峰造极	登上 峰 山顶 造 到达 最高点 比喻 学问 技能 境界 成就
百里挑一	一百个 挑出 形容 人才出众
超凡入圣	NONE
榜首	科举 时代 乡试 第一名 美称 泛指 第一名
数不着	不算
加人一等	加 超过 超过 一等 比喻 学问 超过 指 争强好胜
人才出众	人品 超出 众人
堪称一绝	NONE
一流	一类 一类
第一流	NONE
名列榜首	NONE
天下无双	NONE
独秀一枝	独占鳌头 超过 其他人 无人 队 孤独寂寞 高处不胜 寒
一枝独秀	形容 同类 事物 中 最为 最为 优秀
一花独放	一种 花 开放 百花齐放 比喻 缺少 形式 风格 艺术作品
典型	代表性 或事物
不凡	平凡
非凡	出色
别致	与众不同 新奇
了不起	了不得
不简单	NONE
不同凡响	凡响 平凡 音乐 形容 事物 平凡 出色
高视阔步	眼睛 向上 看迈 大步 走路 形容 气慨 不凡 态度 傲慢
匪夷所思	匪 夷 平常 指 言谈 离奇古怪 常情 所能 想象
卓尔不群	卓 尔特 样子 不群 与众不同 指才 德 超出 寻常 与众不同
非同一般	NONE
出口不凡	NONE
气度不凡	气质 风度
不拘一格	拘 格 规格 方式 局限于 一种 规格 格局
身手不凡	厉害 不同于 凡人
惊世骇俗	世俗 指 人使 感到 惊骇
超能	NONE
超自然	宗教 迷信 自然界 神灵 鬼魂
超导	温度 导体 电阻 导体 内磁感 强度 变为 现象 电阻 性 抗磁性 导体 称 超导体 导体 态 过渡 超导 态时 温度 临界温度 温度
空前	前所未有
划时代	开辟 新 时代 吴晗 一二九 划时代 青年 史诗 序 划时代 一二九 运动 十年 纪念 十年 前 意义 历史性 学生 运动   白澄   这本 小书 值得 青年人 细读 范文澜   蔡美彪   中国通史 第三 编 第四章 第一节 羌   族 一百几十个 聚散无常 原始部落   吐谷浑 苏毗 吐蕃   国家 分立 国家 统一   吐蕃 国都 划时代 发展 夏衍 忆 阿英 同志 一种 时代 思潮 划时代 政治 运动 引导 驱使 一批 青年人 走上 新 道路
破天荒	指 事
史无前例	历史 事 指 前所未有
前无古人	指 做过 指 空前
前所未有	
空前绝后	从前 夸张性 形容 独一无二
亘古未有	亘古 人人有责 古代 不曾有过
闻所未闻	闻 听到 听到 听到 事 形容 事物 新奇 罕见
见所未见	形容 事物 稀罕
无先例	NONE
破格	打破 约束 遵 常规
前所未见	NONE
奇崛	奇特 奇拔
独到	与众不同
不落窠臼	窠 鸟巢 臼 舂 米 石器 比喻 独创 风格 不落 旧套
独树一帜	树立 帜 旗帜 单独 树起 旗帜 比喻 独特 新奇 自成一家
独具匠心	匠心 巧妙 心思 独到 灵巧 心思 指在 技巧 艺术 创造性
别具匠心	匠心 巧妙 心思 指在 技巧 艺术 与众不同 巧妙 构思
匠心独运	匠心 工巧 心思 独创性 精巧 心思
独辟蹊径	开辟 一条 路 比喻 独创 一种 风格 新 方法
别开生面	生面 新 面目 原意 凌烟阁 里 功臣 画像 褪色 曹将军 重画 显得 生气 比喻 创出 一种 新 形式 局面
别具一格	另有 一种 独特 风格
